imagePath,model,cpu,ram,storage,cdndcd,vga,monitor,connection,keyboard,tech,weight,battery,os,price
https://i.imgur.com/Y8s1pwM.png,Asus ROG Strix GL553VE-FY329T,"Intel® Core i7-7700HQ (2.8GHz upto 3.8GHz, 4Cores, 8Threads, 6MB cache, FSB 8GT/s)",8GB DDR4 2400MHz (1x8GB) + 1 slot Ram.,1TB HDD 7200rpm + 1 slot SSD M2 PCIe3x4,,NVIDIA GeForce® GTX 1050Ti 4GB GDDR5 + Intel® HD Graphics 630,15.6 FHD IPS (1920x1080),1000Mbps | 802.11ac | Bluetooth 4.1,,Reader SD | Camera HD | HDMI | USB 3.0 | USB C+ | Thunderbolt | Backlit,2.4 Kg,gần 3.5giờ,Windows 10 bản quyền,24990000
https://i.imgur.com/KMbzHxd.png,Asus VivoBook S15 S510UA-BQ111T,"Intel® Core™ i3-7100U (2.4GHz, 2Cores, 4Threads, 3MB Cache, FSB 4GT/s)","  4GB DDR4 Buss 2133 MHz, 2 Slots",1TB HDD 5400rpm + 1 Slot SSD M2 SATA3,,Intel® HD Graphics 620,15.6 (16:9) backlit FHD (1920x1080) 60Hz Anti-Glare Panel with 45% NTSC with 178˚ wide-viewing angle display,Integrated 802.11 AC (2x2) + Built-in Bluetooth V4.1,,"Microphone-in/Headphone-out jack, Type C USB3.0 (USB3.1 GEN1), USB 3.0 port(s), USB 2.0 port(s), HDMI, Finger",1.6 Kg,3 Cells 42 Whrs Battery,Windows 10 bản quyền,12250000
https://i.imgur.com/aHxcqrF.png,Asus VivoBook S15 S510UQ-BQ483T,"Intel® Core™ i7-8550U (1.8GHz Upto 4.0GHz, 4Cores, 8Threads, 8MB cache, FSB 4GT/s)","8GB DDR4 Buss 2400MHz, 2 Slots RAM",1TB HDD 5400rpm + 1 Slot SSD M2 SATA3,,NVIDIA® Geforce 940MX 2GB GDDR5 + Intel® UHD Graphics 620,15.6 (16:9) backlit FHD (1920x1080) 60Hz Anti-Glare Panel with 45% NTSC with 178˚ wide-viewing angle display,Integrated 802.11 AC (2x2) + Built-in Bluetooth V4.1,,"Microphone-in/Headphone-out jack, Type C USB3.0 (USB3.1 GEN1), USB 3.0 port(s), USB 2.0 port(s), HDMI, Finger",1.7 Kg,3 Cells 42 Whrs Battery,Windows 10 bản quyền,19850000
https://i.imgur.com/PmiOHaj.jpg,Dell Inspiron 7567-N7567B,"Intel® Core™ i7-7700HQ (2.8GHz upto 3.8GHz, 4Cores, 8Threads, 6MB cache, FSB 8GT/s)","8GB DDr4 Bus 2400Mhz (2 Slot, 8GB x 01)",128GB SSD M2 SATA3 + 1TB HDD 5400rpm,,NVIDIA GeForce® GTX 1050Ti 4GB GDDR5 + Intel® HD Graphics 630,15.6-inch 4K uHD IPS,"802.11ac + Bluetooth 4.0, 2.4 GHz",,"Webcam, Card Reader, USB 3.0, USB 3.1 Type C, HDMI, Backlit Keyboard, Dual Fans",2.5 Kg,6 Cells 74 Whrs,Windows 10 bản quyền,29390000
https://i.imgur.com/BQgyHC7.jpg,Dell Vostro 7570-70138770,"Intel® Core™ i7-7700HQ (2.8GHz upto 3.8GHz, 4Cores, 8Threads, 6MB cache, FSB 8GT/s)","8GB DDR4 2400MHz, 2 Slot, Max 32GB",128GB SSD M.2 PCIe + 1TB HDD 5400rpm,,NVIDIA GeForce® GTX 1050Ti 4GB GDDR5 + Intel® HD Graphics 630,"15.6-inch FHD (1920x1080) IPS, Anti-Glare LED-Backlit Display",Wifi 802.11 2X2 ac + Bluetooth v4.1,,"Combo jack (headset/mic), Power connector, HDMI, Noble lock slot 2 USB 3.1 Gen 1 Type-A (5 Gbps), USB 3.1 Gen 1 Type-A (5 Gbps) with PowerShare, VGA, Thunderbolt™ 3 Port (USB 3.1 Gen 2 Type-C™ with support for 40 Gbps Thunderbolt and DisplayPort), Power board Finger",2.65 Kg,"4 Cell 56 Whr, hỗ trợ ExpressCharge",Windows 10 bản quyền + Microsoft Office 365,29990000
https://i.imgur.com/5J8smQh.jpg,Dell Inspiron 5567-M5I5353,"Intel® Core™ i5-7200U (2.5GHz upto 3.1 GHz, 2Cores, 4Threads, 3MB Cache, FSB 4GT/s)",8GB DDR4 Bus 2400Mhz,1TB HDD 5400rpm,,AMD Radeon R7 M445 2GB DDR5 + Intel® HD Graphics 620,15.6 inch HD (1366x768) Truelife-Backlit Display,"1000Mbps | Wifi 802.11b,g,n | Bluetooth 4.0",,Reader SD | Camera HD | HDMI | USB 3.0,2.3 Kg,3 cells - 42WWhr,FreeDos,14900000
https://i.imgur.com/i66jzN9.jpg,Dell Vostro V5468-70087067,"Intel® Core™ i7-7500U (2.7GHz upto 3.5GHz, 2Cores, 4Threads, 4MB cache, FSB 4GT/s)",8GB DDR4 2400MHz (1x8GB) + 1 slot Ram.,1TB HDD 5400rpm,,NVIDIA GeForce® GT940MX 4GB DDR5 + Intel® HD Graphics 620,14.1 (1366x768)-Backlit Display,"100Mbps | Wifi 802.11b,g,n | Bluetooth",,Reader SD | Camera HD | DVI | USB 3.0,1.66 Kg,3 Cell 42 Whrs,Windows 10 bản quyền,21000000
https://i.imgur.com/gLwShZU.jpg,Dell Inspiron 7567-N7567C,"Intel® Core™ i7-7700HQ (2.8GHz upto 3.8GHz, 4Cores, 8Threads, 6MB cache, FSB 8GT/s)","8GB DDr4 Bus 2400Mhz (2 Slot, 8GB x 01)",500GB HDD 5400rpm + 128GB SSD M2 SATA3,,NVIDIA GeForce® GTX 1050Ti 4GB GDDR5 + Intel® HD Graphics 630,15.6 FHD (1920x1080),"802.11ac + Bluetooth 4.0, 2.4 GHz",,"Webcam, Card Reader, USB 3.0, HDMI, Backlit Keyboard, Dual Fans",2.5 Kg,6 Cells 74 Whrs,Free Dos,24990000
https://i.imgur.com/76HrlGi.jpg,Asus X541UV-GO607D,"Intel® Core™ i5-7200U (2.5GHz upto 3.1 GHz, 2Cores, 4Threads, 3MB Cache, FSB 4GT/s)","4GB DDR4 Bus 2133MHz, 1 Slot, Max 16GB",1TB HDD 5400rpm,,NVIDIA GeForce 920MX 2GB DDR3 + Intel® HD Graphics 620,"15.6"" HD (1366x768) 60Hz Anti-Glare Panel with 45% NTSC",Intel 802.11 b/g/n/ac + Bluetooth® 4.0,Full-sized chiclet keyboard,"RJ45 LAN Jack for LAN insert, Microphone-in/Headphone-out jack, VGA port/Mini D-sub 15-pin for external monitor, HDMI, USB 2.0 port(s), Type C USB3.0 (USB3.1 GEN1), Type A USB3.0 (USB3.1 GEN1)",2 Kg,3 Cells 36 Whrs,Free Dos,12490000
https://i.imgur.com/d44HhZa.jpg,Acer Swift 5 SF514-52T-50G2 (NX.GTMSV.001),"Intel® Core™ i5-8250U (1.60GHz Up to 3.40 GHz, 4Cores, 8Threads, 6MB Cache, FSB 4GT/s)",8GB LPDDR3-2133MHz,256GB SSD M.2 Sata,,Intel® UHD Graphics 620,"14.0-inch Full HD (1920x1080) resolution, multi-touch, CineCrystal, In-plane Switching (IPS-Pro) Technology",Wifi 802.11ac + Bluetooth 4.2,,2x USB 3.0 HDMI Output 1x USB 3.1 Gen 1 Type-C,0.97 kg,2-Cell 4670 mAh,Windows 10 bản quyền,23700000
